stop_id,stop_name,stop_lat,stop_lon,location_type
74,Capitol and 4th [sb],47.044418,-122.901711,0
75,Capitol and Legion [sb],47.042889,-122.901489,0
76,Capitol and 9th [sb],47.040489,-122.901131,0
77,Capitol and Union [sb],47.039261,-122.900948,0
78,Capitol and 11th,47.037819,-122.901024,0
79,Capitol and 15th [sb],47.034363,-122.900848,0
80,Capitol and 18th [sb],47.032009,-122.900925,0
81,Capitol and 24th [sb],47.027458,-122.900909,0
82,Capitol and O'Farrell [sb],47.023491,-122.896332,0
83,Capitol and Carlyon [sb],47.020679,-122.897346,0
84,Capitol and "E" [sb],47.011021,-122.905289,0
85,Capitol and Linwood [sb],47.007477,-122.90731,0
86,Linwood and S. 6th,47.007339,-122.912041,0
87,Linwood and Liberty [wb],47.007389,-122.9216,0
88,Linwood and Rural [wb],47.007416,-122.925858,0
89,Rural and 48th [sb],47.00473,-122.926788,0
90,Rural and Trosper [sb],47.000557,-122.926826,0
91,Trosper and Western Plaza MHP [eb],46.999836,-122.925148,0
92,Trosper and Lake Park [eb],46.99987,-122.918144,0
93,Trosper and Olympics West [eb],46.999912,-122.921021,0
94,Littlerock and Trosper [sb],46.998329,-122.917,0
95,Littlerock and Twin County Plaza [sb],46.996742,-122.919014,0
96,Littlerock and Mills Memorial Park [sb],46.994904,-122.921722,0
97,Tumwater Middle School [sb],46.992085,-122.923538,0
98,Littlerock and Odegard [sb],46.989471,-122.927231,0
99,Littlerock and Glenwood [sb],46.987907,-122.929451,0
100,Israel and Littlerock [eb],46.985409,-122.931084,0
101,Linderson and Israel [sb],46.98481,-122.918404,0
102,Labor & Industries Building,46.982967,-122.920601,0
103,Linderson and Tumwater Blvd [sb],46.981155,-122.918419,0
104,Littlerock and Miner [nb],46.986614,-122.930817,0
105,Littlerock and McIver [nb],46.987797,-122.929268,0
106,Littlerock and Odegard [nb],46.989269,-122.927208,0
107,Tumwater Middle School [nb],46.991329,-122.92421,0
108,Littlerock and COSTCO [nb],46.996712,-122.918411,0
109,Littlerock and Trosper [nb],46.998177,-122.916771,0
110,Trosper and S. 2nd [wb],47.000038,-122.917259,0
111,Trosper and Tumwater Mobile Estates [wb],47.000046,-122.921333,0
112,Trosper and Western Plaza MHP [wb],47.000057,-122.925682,0
113,Rural and Trosper [nb],47.001152,-122.926659,0
114,Rural and 48th [nb],47.004875,-122.926651,0
115,Linwood and Rural [eb],47.007355,-122.925812,0
116,Linwood and Liberty [eb],47.00732,-122.921646,0
117,Linwood and Lake Park [eb],47.007263,-122.916656,0
118,Linwood and S. 6th,47.007206,-122.912399,0
119,Capitol and Linwood [nb],47.007397,-122.90696,0
120,Capitol and E [nb],47.012138,-122.904282,0
121,Tumwater  Square,47.018047,-122.898529,0
122,Capitol and Carlyon [nb],47.021271,-122.896317,0
123,Capitol and Eskridge [nb],47.023327,-122.895828,0
124,Capitol and 24th [nb],47.027813,-122.900734,0
125,Capitol and 21st [nb],47.030445,-122.900734,0
126,Capitol and 18th [nb],47.031948,-122.900719,0
127,Capitol and Maple Park [nb],47.034203,-122.900719,0
128,Capitol and 11th,47.037231,-122.900703,0
129,Capitol and Union [nb],47.039383,-122.900749,0
130,Capitol and 9th [nb],47.041023,-122.901001,0
131,Capitol and 7th [nb],47.042767,-122.901299,0
135,Capitol and Israel [nb],46.986286,-122.907394,0
136,Capitol and Dennis [nb],46.988609,-122.90757,0
137,Capitol and Courtyard Plaza [nb],46.991398,-122.907547,0
138,Capitol and W [nb],46.993717,-122.907478,0
139,Capitol and U [nb],46.99522,-122.907471,0
140,Capitol and Lee,46.997578,-122.907608,0
141,Capitol and Capitol 5000 Bldg [nb],47.002338,-122.909615,0
142,Olympia Farmers Market,47.050179,-122.902603,0
143,Capitol and A [nb],47.048546,-122.9021,0
144,Capitol and A [sb],47.04842,-122.902313,0
145,Capitol and Southgate Center [sb],47.001022,-122.909439,0
146,Capitol and Lee,46.997364,-122.907753,0
147,Capitol and Pinehurst [sb],46.995487,-122.907738,0
148,Capitol and Shell Station [sb],46.993561,-122.907761,0
149,Capitol and Courtyard Plaza [sb],46.991524,-122.907784,0
150,Capitol and Dennis [sb],46.987572,-122.907867,0
151,Israel and Indian Creek Apts [wb],46.985485,-122.909538,0
152,Israel and New Market [wb],46.985474,-122.912682,0
153,Israel and Tumwater HS [wb],46.985531,-122.91629,0
154,Custer and Schmidt [wb],47.016781,-122.902512,0
155,S. 2nd and Division [sb],47.015026,-122.906807,0
156,S. 2nd and C [sb],47.013714,-122.906845,0
157,S. 2nd and I [sb],47.008087,-122.908661,0
158,S. 7th and I [nb],47.008842,-122.912842,0
159,Barnes and Vista [nb],47.015472,-122.915138,0
160,Barnes and Ridgeview [nb],47.01899,-122.922569,0
161,SPSCC,47.02322,-122.929222,0
162,SPSCC Building 34 [wb],47.021366,-122.932938,0
165,Family Court Building,47.017574,-122.942627,0
166,RW Johnson and Somerset Hill [nb],47.01923,-122.939156,0
173,Crosby and Somerset Hill [sb],47.0205,-122.926353,0
174,Barnes and Ridgeview [sb],47.017628,-122.920486,0
175,Barnes and Overlook Park [sb],47.016403,-122.918152,0
176,Barnes and Vista [sb],47.015278,-122.915154,0
177,S. 7th and I [sb],47.008472,-122.913048,0
178,S. 2nd and I [nb],47.00798,-122.908585,0
179,S. 2nd and C [nb],47.013779,-122.906677,0
180,S. 2nd and Division [nb],47.015377,-122.906654,0
181,Custer and Schmidt [eb],47.016659,-122.902924,0
182,North and Masonic Cemetery [eb],47.016563,-122.896492,0
183,North and Lorne [eb],47.016575,-122.89341,0
184,North and Hoadly [eb],47.016541,-122.889053,0
185,North and Pifer [eb],47.016529,-122.884804,0
186,North and Central [eb],47.016518,-122.882339,0
187,Henderson and North [sb],47.01622,-122.879333,0
188,Henderson and Middle [sb],47.012791,-122.879356,0
189,Henderson and Briggs Nursery [sb],47.00581,-122.881027,0
190,Henderson and Yelm Hwy,47.004227,-122.881073,0
191,Yelm Hwy and Village [eb],47.003517,-122.874893,0
192,Yelm Hwy and Juli [eb],47.004597,-122.869125,0
193,Yelm Hwy and Boulevard [eb],47.003643,-122.86496,0
194,Yelm Hwy and Donovan [eb],47.001316,-122.859245,0
195,Yelm Hwy and Rich [eb],47.000786,-122.855568,0
196,Yelm Hwy and Chambers Creek [eb],47.000309,-122.852005,0
197,Yelm Hwy and Wiggins [eb],46.998089,-122.845062,0
198,Yelm Hwy and Donnelly [eb],46.997005,-122.841431,0
199,Yelm Hwy and Troon eb],46.996204,-122.836433,0
200,Yelm Hwy and Chardonnay [eb],46.996189,-122.833473,0
202,Yelm Hwy and Sarazan [eb],46.996155,-122.818962,0
203,Yelm Hwy and Sarazan [wb],46.996342,-122.819496,0
204,Yelm Hwy and Corporate Center [wb],46.99638,-122.829399,0
205,Yelm Hiwy and Chardonnay [wb],46.99638,-122.833481,0
206,Yelm Hwy and Normandy [wb],46.996483,-122.838486,0
207,Yelm Hwy and Donnelly [wb],46.997395,-122.842117,0
208,Yelm Hwy and Wiggins [wb],46.998268,-122.844978,0
209,Yelm Hwy and Chambers Creek [wb],47.00053,-122.852295,0
210,Yelm Hwy and Rich [wb],47.001186,-122.857025,0
211,Yelm Hwy and Siskiyou [wb],47.001732,-122.860947,0
212,Yelm Hwy and Boulevard [wb],47.004494,-122.866524,0
213,Yelm Hwy and Juli [wb],47.004734,-122.869209,0
214,Yelm Hwy and Village [wb],47.003651,-122.875397,0
215,Henderson and Yelm Hwy,47.004116,-122.880875,0
216,Henderson and Briggs Nursery [nb],47.006489,-122.880577,0
217,Henderson and Middle [nb],47.013264,-122.879166,0
218,North and Central [wb],47.016613,-122.882462,0
219,North and Pifer [wb],47.016624,-122.884239,0
220,North and Hawthorne [wb],47.016632,-122.887001,0
221,North and Hoadly [wb],47.01672,-122.890556,0
222,North and Lorne [wb],47.016647,-122.893089,0
223,North and Masonic Cemetery [wb],47.016663,-122.8965,0
224,Friendly Grove and 26th,47.068542,-122.871323,0
225,26th and Bethel [wb],47.068886,-122.883583,0
226,Bethel and Brandon [sb],47.067284,-122.884697,0
227,Bethel and Devon [sb],47.065765,-122.884705,0
228,Bethel and Miller [sb],47.061703,-122.884796,0
229,Bethel and Ethridge [sb],47.059883,-122.884811,0
230,Bethel and San Francisco [sb],47.057686,-122.884888,0
231,Puget and San Francisco [sb],47.056915,-122.887482,0
232,Puget and Leavenworth [sb],47.055328,-122.887512,0
233,Puget and Pine,47.053467,-122.887505,0
234,Puget and Yew [sb],47.05143,-122.887688,0
235,Puget and Bigelow [sb],47.049782,-122.887695,0
236,Puget and Thurston [sb],47.04847,-122.887558,0
237,State and Eastside [wb],47.046638,-122.889458,0
238,State and East Bay [wb],47.04636,-122.893753,0
239,State and Jefferson [wb],47.046181,-122.896439,0
240,Olympia Transit Center,47.046299,-122.900032,0
241,4th and Adams [eb],47.045139,-122.897659,0
242,4th and Pear [eb],47.045513,-122.891594,0
243,Puget and Thurston [nb],47.048683,-122.887421,0
244,Puget and Bigelow [nb],47.050018,-122.887512,0
