route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_id
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367651
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748947,20098504,0,0,11367652
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367653
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748947,20098504,0,0,11367654
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367655
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748947,20098504,0,0,11367656
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367657
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748947,20098504,0,0,11367658
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367659
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748947,20098504,0,0,11367660
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367661
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748947,20098504,0,0,11367662
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367663
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748947,20098504,0,0,11367664
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367665
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748947,20098504,0,0,11367666
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367667
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748947,20098504,0,0,11367668
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367669
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748947,20098504,0,0,11367670
100340,SATURDAY,LOCAL,DOWNTOWN SEATTLE PACIFIC PLACE STATION,,1,2748946,20098504,0,0,11367671
